CategoryId,Name,Path,AvailableCount,TotalCount
118435,Pow. radzyński,,0,0
251018,Skrzynie,,1123,1123
114583,Stare Gliwice,,0,0
118273,Ochojec,,0,0
121484,"Wzorniki, szablony",,4,4
259982,Onyksy,,536,536
110737,K13 (2010-2016),,38,38
116991,Pow. brzeziński,,0,0
117847,Suwałki,,0,0
120657,Grzegórzki,,1,1
353,Etui i pokrowce,,6000,4489168
89750,Europa,,6000,8129
90861,"Medytacja, joga",,2304,2304
118622,Gliwice,,0,0
253350,Mydła,,2986,2986
67249,Generatory,,167,167
260476,Łańcuchy napędowe,,6000,13034
90219,Obiektywy,,1274,1274
111078,Nabiał,,2335,2335
12700,Supra,,1,1
18252,W203 (2000-2007),,84,84
116847,Pozostałe,,0,0
253564,Dywaniki gumowe,,6000,278677
27878,GT,,14,14
257216,Neffos X1 Max,,28,28
257630,Łańcuchy śniegowe,,6000,12326
147548,Okolicznościowe,,885,885
116726,Wielki Kack,,0,0
11895,Pozostałe,,597,597
120427,Pow. płoński,,0,0
89080,Konstrukcje betonowe i żelbetowe,,1226,1226
118270,Kostuchna,,0,0
122336,Podwójne,,29,29
120924,Przemyśl,,0,0
258653,Strategiczne,,100,100
120648,Psie Pole,,0,0
115242,Chwarzno,,0,0
118953,Pow. legionowski,,0,0
257764,Nici dentystyczne,,1448,1448
62518,Rumunia,,0,0
253842,Pozostałe,,679,679
255983,Komplety sprzęgieł i kół dwumasowych,,6000,25010
93550,Odzież,,347,347
14168,300 mm ,,1085,1085
19916,Drewniaki,,1591,1591
121082,Pow. słupecki,,0,0
105383,Latitude,,3,3
50883,Koła dwumasowe,,6000,40974
259415,Pudełka,,1525,1525
259701,Prostownice,,756,756
257379,Akcesoria,,122,122
114927,Pow. chojnicki,,1,1
259553,Pozostałe,,3557,3557
253916,Tuning,,2356,2356
10355,Niemcy,,1252,1252
255969,Gąsiory,,1338,1338
64603,Pozostałe,,6000,26028
79495,HTC Desire,,64,64
117581,Chełmoniewo,,0,0
67245,Filtry,,99,99
82258,Huśtawki,,4592,4592
148081,Przyrządy zaciskowe,,136,136
114885,Pow. brzozowski,,1,1
257459,Zestawy,,190,190
146811,W245 (2005-2011),,47,47
259524,Łapacze snów,,1552,1552
93663,Prace ręczne,,6000,50580
18167,Mk1 (1993-1996),,2,2
