CategoryId,Name,AvailableCount,TotalCount
67466,Odkurzacze,6000,383089
114944,Chorzów,0,0
120841,Pow. skierniewicki,0,0
67525,Ekspresy do kawy,208,208
75834,Polska,1849,1849
92879,Fantasy i science fiction,2383,2383
123649,Do Archos,1965,1965
119711,Pow. brzeski,0,0
5634,Punk,3665,3665
10342,Zielonogórskie (Grünberg),464,464
253402,Nexus One,0,0
76268,Euro-SVHS+Jack,41,41
119055,Pow. tczewski,0,0
251273,F12berlinetta,0,0
46083,XG 30,0,0
257989,Paski i bransolety,6000,9054
114440,Radzymin,0,0
251264,V12 Vantage,0,0
82611,Spacerowe,6000,12920
117378,Piastów,0,0
117549,Józefów,0,0
116390,Pow. suwalski,0,0
113120,Pow. grodziski,0,0
254525,Spoilery,6000,15985
113180,Fabryczna,1,1
112857,Pow. parczewski,0,0
260596,Obudowy,83,83
122433,Alergia,85,85
112269,Obuwie,534,534
50443,Medale,4523,4523
28298,USA,475,475
110167,Bidony rowerowe,6000,7431
75533,Bold 9700,13,13
63797,Penisy i dilda,6000,51338
117491,Karb,0,0
118776,Rembertów,0,0
256039,Idol 4,36,36
257542,LC,0,0
19635,Majtki,1435,1435
254498,Mikrokomputery,2707,2707
95600,Veto,21,21
117741,Pow. wieruszowski,0,0
13554,Jackety,369,369
91183,X2,32,32
46745,Trance,3860,3860
46813,Baterie i akumulatory,1396,1396
259523,Kubki,94,94
12416,145,0,0
18517,Golf Plus,81,81
115690,Rybnik,0,0
148266,Kosmetyki,341,341
16027,"Kije, Sticki",181,181
114381,Wrzosy,0,0
114089,Pow. wielicki,0,0
97764,Fantasy i science fiction,6000,7875
10826,Progresywny,277,277
260268,Folie do kokpitu,6000,6107
16218,Motocykle,1011,1011
117890,Katowice,0,0
251967,Heyah,242,242
67224,"Zalewy, lakiery",239,239
117764,Pow. wadowicki,0,0
45851,Scrabble,249,249
115424,Zachodniopomorskie,10,10
121139,Bielany,0,0
77175,X1,78,78
12436,Seria 3,672,672
18193,Hummer,3,3
258856,Zenfone 4,49,49
250189,Ekonomia,6000,10982
251506,Tarcze hamulcowe,1735,1735
50455,Polska,511,511
117531,Brynów,1,1
251269,II (2013-),40,40
18500,Buggy,10,10
121422,Sklep i magazyn,6000,78284
259343,Lalki kolekcjonerskie,1798,1798
118880,Pow. zamojski,0,0
258124,Konfetti,2072,2072
121769,Torby i pokrowce,6000,10849
111852,Akcesoria dekarskie  ,4583,4583
12441,Z3,1,1
256764,Góra,6000,13192
115554,Pow. olkuski,0,0
113652,Radom,1,1
19027,Reflektory,6000,12742
112956,Pow. sierpecki,0,0
251905,Rooibos,571,571
259290,Narciarskie,3820,3820
257367,Konsole,8,8
90878,Oprogramowanie biurowe,282,282
18298,Space Gear,0,0
112512,IX (2011-),28,28
4052,Subaru,122,122
26230,Biblioteki,743,743
67169,120 mm,120,120
93614,Izrael,153,153
119638,Pow. rawski,0,0
113241,Nowa Huta,0,0
98316,Erotyka okazje,6000,209369
12405,Land Rover,125,125
8695,Tuning mechaniczny,6000,154760
113725,Pow. sanocki,0,0
117560,Zagórze,0,0
12050,po 1990,329,329
251279,III (2015-),7,7
148149,Kamizelki,223,223
13575,Maszty,216,216
259906,Pojemniki na odpady medyczne,273,273
119780,Pow. starogardzki,0,0
118067,Rudnik,0,0
11721,Akcesoria ciemniowe,432,432
145184,B-MAX,14,14
9238,Programy sportowe,2374,2374
115502,Gorzów Wielkopolski,0,0
120836,Pow. piotrkowski,0,0
12581,Galant,6,6
112643,Przetwory owocowe,959,959
26234,Kredensy,1016,1016
114856,Pow. siedlecki,0,0
110021,"Pokrywy, folie, plandeki",1579,1579
120266,Jelenia Góra,0,0
252719,Spalinowe,2087,2087
249774,II (1998-2003),1,1
147329,F15 (2013-),51,51
113092,Olsztyn,0,0
19864,Damskie,6000,326565
120294,Pow. zgorzelecki,1,1
256832,IV (2017-),0,0
28311,Peru,108,108
258492,Bijatyki,44,44
18565,Towarowe,6000,23889
93811,Bangladesz,115,115
18162,Focus C-Max,12,12
256727,Bielizna,6000,34948
13599,Sporty zimowe,6000,192568
4571,Trackball,32,32
119064,Jaworzno,0,0
117866,Pow. bytowski,0,0
79164,Science fiction,6000,43051
126199,Preparaty do szamb,2394,2394
119311,Drabinianka,0,0
253549,Na hak holowniczy,2634,2634
260267,Folie do karoserii,3445,3445
147158,XPERIA Z Ultra,7,7
67364,Listwy LED,1138,1138
119957,Stare Miasto,0,0
146647,IV (2010-),39,39
259113,Q8,21,21
259661,Lejki,241,241
249724,II (2014-),6,6
93200,Hero Factory,732,732
76083,Spodenki,6000,32422
249635,II (2012-),13,13
117690,Pow. janowski,0,0
4807,Nokia,6000,6995
